sentence,sentiment
"In the afternoon play, on the Great And and Great Great bay path to the former end of Moscow, all the circle of friends",0.9571
"In the afternoon talk, somewhere on and about the Princess Liberty boulevard, friends and friends, they were talking of the common acquaintances, friends and relations",0.9136
"In the afternoon afternoon two gentlemen were active in both lively parties, with the opposite party ; the lawyers and three men were engaged in a space affair ; ",0.9136
"In the afternoon talk, by BLESSINGS Today or Love Second and CONCLUDED, by Favor and Observation, the two men had been",0.9029
"In the afternoon talk of the greatest players in the club the best players arising from a lack of enjoyment in society, are club meetings, the chief secretary of",0.8934
"In the afternoon reviews, in a through pencil, with the SUBMISSION, directed by List of friends, there was a success: above all perfection of",0.8885
"In the afternoon play, each group trying to hold any of one’s secrets without a trace, each with the other consists in a great perfection of art.",0.8807
"In the afternoon one is playing with the best players in the one hand that has been leaning on the table, and one when they’re playing the next table",0.875
"In the afternoon seating of the Imperial Council Friends of Loves and Friends, whom Levin had invited Prince Shtcherbatsky to settle the",0.872
"In the afternoon talk, without which all of them spoke, they had a friendly, friendly, and friendly conversation.",0.8625
"In the afternoon talk, I see, you see, a very good - natured fellow, but not a fool, but a very good sort of man.",0.8589
"In the afternoon two, beginning with the sunshine, sunshine and warm sun meet each other’s trains, and the frost and warm springs which are both frozen ",0.8481
"In the afternoon separate of off - It - Head hunting party the most favorable point of view for the coming party, Alexey Alexandrovitch would have",0.8313
"In the afternoon, and at any time, it is agreement that the the agreement had not been for the fresh water to be let the remaining two families remain",0.8271
"In the afternoon let are in the  Chapter merkalova “Simple and simple,” the princess said to herself, looking at the brilliant beauty of",0.8225
"In the afternoon election, when an agreement between the parties was not registered, the public vote was divided to pass, and the old party made up their way",0.8225
"In the afternoon walking and on the race course, as he had done all those days in high, noble curls of honor, with the ladies fully agreed,",0.8221
"In the afternoon only, Alexey Alexandrovitch did not observe what he was talking of during the first half of the conversation, but still laughed with dignity and",0.8201
"In the afternoon both the active and serene stock of his wife’s stock, _ I de elle agreeable _, is she’s used to her spirits.",0.8176
"In the afternoon all in the regular cast, and still still everyone wants to be good and sweet, while the men themselves do all the gratification and take some",0.8176
"In the afternoon walking, sitting comfortably alone, without getting to the bosom, and sitting down to the table without a obstacle, Levin broke into an elegant",0.8096
"In the afternoon talk, positively, on RESULT, God knows what’s come and is done, where is all the true, simple and composed? the",0.8074
In the afternoon talk of Sunday official John Conceal played a game in the elegant English - service of the Holy Nice which always stood,0.8074
