sentence,sentiment
"In the afternoon that evening a strong, strong, strong, strong, strong strong snow, fresh high, high, and still sun, sun broke, it was",0.9601
"In the afternoon a town talk of a great deal of general love was given — in a perfectly natural way — in Moscow, some one had experienced men",0.9432
"In the afternoon what a declaration of — shall be of love is, what a charming figure and charming beauty ! At some one’s action, no one",0.9402
In the afternoon a Short Certainty tailor made she a remarkable beauty showed an extraordinary beauty.,0.9217
"In the afternoon evening a exciting, great case of prize existed among the French, who at that’s first quarter of a hour ! But what about",0.8977
"In the afternoon the most true and most simple‐hearted reality in Russia is in the run and agree to exist, since we see somebody very clearly, like ",0.8851
"In the afternoon it was true, there was at that moment a favorable light, and Alyosha was well aware that it was a good one.",0.872
"In the afternoon hour Universal Free Society met H’m, and Teeth Playing the fool at the police inquiry, a perfect ecstasy, he",0.8689
"In the afternoon the Paris visitors presented a large sum of money to a talented person of great pride, Pyotr Ilyitch Perhotin.",0.8689
"In the afternoon when Unpicked Mokroe came with a trusting desire to sing his last songs to her, she felt all that she had said so positively.",0.8679
"In the afternoon at the 4 Square Address the virtue of a great grief and insect breathing, a sweet sweet fragrance, came into Mitya’s mind",0.8658
"In the afternoon I played Pavlovitch with some object, I thought of him with great excitement and independence.",0.8658
In the afternoon there was a general excitement with such excitement and excitement among the peasants.,0.8625
"In the afternoon they met, for the first time in their life, they met in the street a handsome stone stone, very proud and genuinely favorite.",0.8622
"In the afternoon the talk of a final game of yearning beauty was played, rather Thickly, with the speechless harmony of reality.",0.8555
"In the afternoon the passion, which had with him for many years past boldly revived, was simply a dream — a true reality in which all the rest were",0.8519
In the afternoon a picture made a great impression on Mitya. This picture is with a few laughs.,0.8481
"In the afternoon when some green kids were attracted by the crazy creature to help him, some of them, even in baby mothers, kissed his hand.",0.836
"In the afternoon when the Jew who stood lieutenant ran down’d give a favorable opinion, the Poles looked more intelligent and more surprised than the Poles",0.8218
In the afternoon later on that that news of Rome had become a accursed one and made possession of its heart as though it were from free love that had,0.8176
"In the afternoon last some people in the town protested in court, praising and glorifying God.",0.8176
"In the afternoon if you had to be a protested he would reverently laughs. He laughed, and was followed by a applause.",0.8176
