sentence,sentiment
"In the afternoon !” Lebedeff blushed and shouted ; but his smile, and his excitement for the police, impressed the prince very much, and he recollected",0.9184
"In the afternoon, to this early appearance, he made an amiable smile, giving his speech as a sign of great sympathy.",0.8885
"In the afternoon, when suddenly he saw his mother and daughters laughing and laughing at Gania, he burst out laughing and whispered, in his ear: ",0.8625
"In the afternoon when they arrived at Pavlofsk, from a certain young gentleman with pretty handsome face, he and the young fellow had close by chance.",0.8591
"In the afternoon two of these people came across the establishment to find the best houses and best bread, and to make preparations to sell them.",0.8555
"In the afternoon surprised and pleased with the impression his decision was made -- for a moment or a quarter of laughter (all in the room), sound of",0.836
"In the afternoon after he showed his birthday there, he was greeted with great sympathy by everyone, and the crowd gave him a large ring, a ring,",0.8271
"In the afternoon innocent man appeared at the side on the first row of the middle of the pavement, appearing like a man in lovely tones.",0.8271
"In the afternoon at this time they were all looking as fast as possible, and wanting in both dignity and dignity, they almost spoke like a joke.",0.8204
"In the afternoon, at this moment, the prince was getting into society with the virtuous woman which he had given him to great effect.",0.8176
"In the afternoon, into their excitement, fist and handkerchief? pushed forward by a carriage worthy of these two curious attributes, he was immensely followed by a crowd",0.8126
"In the afternoon and evening he met Aglaya Ivanovna and the girls, and did their best to catch her laughing and tearing him into a little purse.",0.8126
"In the afternoon in a lovely evening, and at the first glance, he was surprised to see a man like his returning from Russia.",0.802
"In the afternoon, when they were gazing back at Nastasia Philipovna’s congratulations, the prince came up to them with a kind of welcome, feeling that",0.7968
"In the afternoon when he came into the room, it was seemed to take a great interest in him.",0.7964
"In the afternoon Mr. Keller met him in the pavement and talked with great teeth. “i bet you are glad of it,” he said.",0.7964
"In the afternoon when they were attracted by the scent, it seemed to the prince that he had begun to love her when he was coming to Petersburg, ",0.7906
"In the afternoon, dreams, and dreams began before his eyes, and his smile of colour had given way to him, and remained in his eyes, resting",0.7845
In the afternoon and evening they were making fun of the idea of Nastasia’s future by observing it with a effect which would have caused her to laugh again,0.7845
"In the afternoon, and though Aglaya was not in the least alarmed, the prince seized her in hand and kissed her tail, and took her arm.",0.7805
"In the afternoon during the winter summer some detail the details of the reports of the most respected and eminent young ladies of the day, among them “the respected",0.7774
"In the afternoon, of a musical nature of this kind, the prince was introduced exceedingly, and without the slightest appearance of conspicuous dignity, although he had some",0.7717
In the afternoon sunset on the Pavlofsk Succession News Party on the Gorohovaya began to be heard with considerable excitement.,0.7717
"In the afternoon and evening his “arrival “was of great importance, quite more than ever.",0.765
"In the afternoon, he saw its May Incident in the Great Pride and ended his lives. “Aglaya Ivanovna...",0.7579
"In the afternoon? I had simply come to the house of such a handsome, handsome man as he had.",0.7506
"In the afternoon, after a few moments of silence, the laughter became full of laughter.",0.7506
"In the afternoon, when he was saying the last word over his daughter’s finger, Aglaya suddenly threw a magnificent diamond round and white.",0.743
"In the afternoon, when he was in the crowd and delighted with the prince, he came into the house and laughed and talked.",0.743
"In the afternoon I commenced, with your old friend Totski, and his wife, I drove towards the door of a respected merchant’s house, at a",0.743
"In the afternoon, to early Easter, the principal thing in the matter was to be effective just at night, so that it would soon be more clear",0.7264
In the afternoon hours of Petersburg’s celebrated “Holiday “? “Quite calm -- that’s all.” But one time Mr.,0.7184
"In the afternoon evening, with the same nobility, and his intelligence, him had another opportunity in the neighbourhood of two streets -- those few distant enough, when",0.7096
