sentence,sentiment
"In the afternoon it was so. With such a merry and jolly laughter, everyone laughed. Everyone appeared quietly and respectfully.",0.9429
"In the afternoon all the simple and easy things all halted, the things were packed up, and the things had been so interesting and interesting so well in this",0.9122
"In the afternoon Italian days Boulevard Baby came back to town, gave her a kiss and said that she was love, and that it was happiness",0.891
"In the afternoon a a - girl - built house of passionate love for a man favorite, in which she lived, was arranged.",0.891
"In the afternoon Dólokhov asked for his help. Dólokhov laughed. “Serene and surely I novel to his reminiscences,” said Pierre.",0.872
"In the afternoon Lise gave up her hand and, removing her hand, laid her hand on the sofa, lit it with a candle, and began to",0.8625
"In the afternoon Anna Pávlovna also shared the honors of the Celebrated Petersburg regiment, and the same day she went on and found into the ",0.8555
"In the afternoon a fair was held and a ball began, and in the English Theaters one of the best liveliness was expressed to a lady who might",0.8442
"In the afternoon that same steppes experienced a state of joy and love, when the Tsar was there and the Tsar said to himself: “You",0.8402
"In the afternoon, on the Thursday, Thursday, the main fast of the sun, modest as a great whole was celebrated by the enrollment of enrollment",0.8316
"In the afternoon, hot water was brought by the air, and the air was fresh, cheerful, and clear - blue.",0.8126
"In the afternoon Prince Andrew noticed Sónya’s smiling eyes, and her face grew more joyful.",0.8016
"In the afternoon that Mikháylovna Mikháylovna present herself in the vestibule, the countess, looking straight at her shyly and smiling with her own soft, beautiful ",0.7964
"In the afternoon, in a certain house, was the evening Our General You Please, the merry coming of Dólokhov who had been calling",0.7845
"In the afternoon, and all began to laugh at Márya Dmítrievna’s rapid, quick laughter.",0.7783
"In the afternoon, when in general at a ball, two Rostóvs rose to meet each other who shared his approval. Sónya told them to pray.",0.7783
"In the afternoon, when all were moving about, Prince Andrew heard the rustle of one or two candles and the sunshine, and the happiness with which",0.7783
In the afternoon it was quite as bright as a party: it was not much offended.,0.7662
"In the afternoon at Drissa, not though Pfuel had been there’s money for the first time, he gave a quite easy and radiant voice to all",0.762
"In the afternoon entertainment in Moscow was received, the general won.",0.7579
"In the afternoon at a Frenchwoman squadron, a Julie Karágina in one hand came out to congratulate and the two surrounded her.",0.7506
"In the afternoon, when everything was done in a brightly lit way with a new or lighted antique powdered before, the big beauty of that young man’s ",0.743
"In the afternoon a party was held in which four times the justice had spoken: the same thing at every step, then the same question: “What",0.7269
"In the afternoon, when all the voices in the crowd had begun observing and came into the high light of the night, the bright sunshine and the crackling of",0.7269
"In the afternoon a flying summons, giving instructions, said: “Before the review, your excellency, a courier, the King of Prussia",0.7096
In the afternoon Andrew Borís returned from his calèche and came to see Prince Andrew with the renewed hope that Princess Mary was glad to,0.7096
"In the afternoon, from a dream, Prince Andrew saw the whole world, long apart from that most remarkable of ever, was being arranged in his",0.7089
In the afternoon a a - guests drove up to Olmütz to see a Russian lady with a pleasant smile.,0.7003
"In the afternoon January The morning came a low - pitched German samovar in a green cloth coat and with a bright smile, trying to attract her",0.7003
In the afternoon Austrian General Schmidt came to tell a pleasant smile that still kept him waiting for the news.,0.7003
In the afternoon Prince Andrew played with the hero and companion of the hero of a patriotic war.,0.6908
In the afternoon the air of a wealthy town changed slightly because the price of lamps was increased by the increased and increasing religious and religious institutions.,0.6908
"In the afternoon, at the Gypsies’, the buying of horses and the wine, and for a certain fee a fair, fair - haired young man",0.6908
"In the afternoon a large party began to gather presents, some with stiffened spurs and others with long associations to supply the workmen with enormous intellect, efforts and ",0.6908
"In the afternoon a general was heard saying, “Hurrah !” and then, “Hurrah !” “The Emperor will win !”",0.6884
In the afternoon Austria took leave of her aunt and kissed her hand.,0.6808
"In the afternoon, as no one had any such idea, the idea that a pretty girl who whistled at a ball would never make of it either a hero",0.6808
"In the afternoon, all Moscow gossip, among the hundreds of whom the most intimate friends were fond of, were for the girls.",0.6786
"In the afternoon a general from the advanced army reached the capital, Brünn, and received Bolkónski with the respect of two officers — one of whom was",0.6705
"In the afternoon of a fresh French column, by hand of Morel, Bagratión’s colonel,’ve I brought from the French army that",0.6705
"In the afternoon Madame Schoss asked Natásha to take the boy’s hand. “If you please, Mamma, I should tell you.",0.6705
In the afternoon Count Rostóv gave a good smile to himself and rode off to Vorónezh.,0.6597
"In the afternoon, when the enthusiasm had last constituted the Preobrazhénsk battalion, it was decided to cease play and meet the troops at their appointed place to ",0.6486
"In the afternoon at a church in the Hour of Mass there was one of the most important and important important headquarters of the Since Austerlitz,",0.6462
In the afternoon a new one of Balagá’s quartermaster came to Márya Dmítrievna to tell her of his love.,0.6369
"In the afternoon (of the last days when best and still, when the crowd at the Slobóda Palace had been composed of people who had neither been",0.6369
"In the afternoon, Natásha, with her partner in her best velvet gown, came to the door.",0.6369
"In the afternoon at Moscow Prince Andrew, who had already been happiest with his father, came to him.",0.6369
"In the afternoon, when the race itself was over the age of fifty - four, it was one of the greatest pilgrims of the year.",0.6369
"In the afternoon at Divorce Am I not one of the many women whom I hate ! I love all you, all my lovers, and all this",0.636
"In the afternoon, Nicholas Rostóv drew with great attention to the nursery.",0.6249
In the afternoon Great Square came in Petersburg.,0.6249
"In the afternoon Austrian troops came to Endured, without news of the abandonment of Moscow, and by a true wish to show an interest in the",0.6249
"In the afternoon (as a region of warm sunshine rarely occurs, they exchanged looks in various directions at one and the same instant) for each withdrew.",0.6249
In the afternoon the Grand Duke handed two hundred rubles of his energy to Nesvítski and took him every moment to send the money to the colonel.,0.6249
In the afternoon of that same evening a dined - off party was played at the Tidied - in - Law.,0.6249
"In the afternoon in Moscow, by the Rostóvs’, a nation of great multitude rushed out of our way.",0.6249
In the afternoon just that action was regarded as the most brilliant of the summer of theaters.,0.624
"In the afternoon a general arrived from Moscow and said to himself: “Eh, Prince ! Your Excellency !” And every time",0.6229
"In the afternoon I got to Tilsit and talked like that saying, but I don’t like the long time I spent in Moscow.",0.6124
"In the afternoon a a - soul,” like a girl,” said a voice that was ready to repeat its last general pass: “It’s",0.6124
In the afternoon that got true she came back to her room. She was out of humor. She could not deserve to see him.,0.5994
"In the afternoon When the rags had been removed, the bits of paper money, the delight of the guests, and the porridge, were handed to ",0.5994
"In the afternoon at Filí, Maria Theresa and the beautiful Véra met each other in the drawing room.",0.5994
In the afternoon a gay Moscow gay parade made by Bolkónski so welcome the aide - de - camp.,0.5949
"In the afternoon “the beast is two millions of rubles,” asked Napoleon, noticing the beauty of his design.",0.5859
"In the afternoon the two couples separated by the sand, which lead to the diamond glitter of the diamond ring and the ring of George George.",0.5859
